metric,day4_original,day4c_accuracy_ensemble,day4d_best_accuracy,day4e_mci_priority,gain_4e_vs_4,gain_4e_vs_4d,target,day4e_passed
Accuracy,0.559322,0.627119,0.677966,0.5084745762711864,-0.05084742372881357,-0.16949142372881354,0.85,False
Recall macro,0.448153,0.465171,0.49859,0.5017297802711548,0.053576780271154756,0.0031397802711548017,0.88,False
F1 macro,0.466529,0.456009,0.460084,0.4454226134898404,-0.021106386510159614,-0.01466138651015958,0.85,False
AUC-ROC,0.563021,0.724558,0.728571,0.6325537819927721,0.06953278199277213,-0.09601721800722784,0.9,False
Recall MCI,0.2,0.0,0.0,0.4,0.2,0.4,0.85,False
Specificity,0.709677,0.612903,0.83871,0.3225806451612903,-0.3870963548387097,-0.5161293548387096,0.82,False
