metric,day4_original_multimodal,day4b_current_state,day4c_argmax_ensemble,day4c_biased_ensemble,gain_biased_vs_day4,target,biased_passed
Accuracy,0.559322,0.5454545454545454,0.5932203389830508,0.6271186440677966,0.06779664406779662,0.85,False
Recall macro,0.448153,0.3863636363636364,0.45114539504441326,0.46517064048620854,0.01701764048620852,0.88,False
F1 macro,0.466529,0.3653846153846154,0.43209876543209874,0.45600907029478455,-0.01051992970521548,0.85,False
AUC-ROC,0.563021,0.613180258574198,0.7463326580437379,0.7245584026556444,0.16153740265564442,0.9,False
Recall MCI,0.2,0.4090909090909091,0.0,0.0,-0.2,0.85,False
Specificity,0.709677,0.75,0.4838709677419355,0.6129032258064516,-0.09677377419354838,0.82,False
