model,val_accuracy,val_f1_macro,val_recall_mci,test_accuracy,test_f1_macro,test_recall_mci,test_auc
rf,0.6538461538461539,0.47368421052631576,0.0,0.559322033898305,0.4093406593406594,0.0,0.7540704131634474
et,0.6346153846153846,0.4766584766584767,0.0,0.576271186440678,0.43018419489007725,0.0,0.7473011915274655
hgb,0.6153846153846154,0.44986449864498645,0.0,0.5254237288135594,0.37564856451055,0.0,0.7489916417452648
lr,0.5576923076923077,0.42585428755641513,0.0,0.3898305084745763,0.34281934996220703,0.2,0.7013123622520537
cnn,0.4423076923076923,0.3652312599681021,0.2,0.559322033898305,0.4665286404416839,0.2,0.5630209686076914
