metric,day4_original_multimodal,day4b_current_state,day4c_accuracy_ensemble,gain_day4c_vs_day4,target,day4c_passed
Accuracy,0.559322,0.5454545454545454,0.5932203389830508,0.033898338983050835,0.85,False
Recall macro,0.448153,0.3863636363636364,0.45114539504441326,0.002992395044413232,0.88,False
F1 macro,0.466529,0.3653846153846154,0.43209876543209874,-0.034430234567901286,0.85,False
AUC-ROC,0.563021,0.613180258574198,0.7463326580437379,0.18331165804373795,0.9,False
Recall MCI,0.2,0.4090909090909091,0.0,-0.2,0.85,False
Specificity,0.709677,0.75,0.4838709677419355,-0.2258060322580645,0.82,False
