metric,original_group_based_day4,optimized_current_state_day4b,absolute_gain,target,optimized_passed
Accuracy,0.559322033898305,0.5454545454545454,-0.013867488443759624,0.85,False
Recall macro,0.4481533426834969,0.3863636363636364,-0.06178970631986047,0.88,False
F1 macro,0.4665286404416839,0.3653846153846154,-0.10114402505706849,0.85,False
AUC-ROC,0.5630209686076914,0.613180258574198,0.05015928996650665,0.9,False
Recall MCI,0.2,0.4090909090909091,0.2090909090909091,0.85,False
Specificity,0.7096774193548387,0.75,0.040322580645161255,0.82,False
