metric,day4_original,day4c_accuracy_biased,day4d_balanced,gain_day4d_vs_day4,gain_day4d_vs_day4c,target,day4d_passed
Accuracy,0.559322,0.627119,0.6779661016949152,0.11864410169491524,0.05084710169491524,0.85,False
Recall macro,0.448153,0.465171,0.482468443197756,0.03431544319775598,0.017297443197756,0.88,False
F1 macro,0.466529,0.456009,0.46635367762128327,-0.00017532237871675793,0.010344677621283271,0.85,False
AUC-ROC,0.563021,0.724558,0.7286453888604427,0.16562438886044273,0.004087388860442687,0.9,False
Recall MCI,0.2,0.0,0.0,-0.2,0.0,0.85,False
Specificity,0.709677,0.612903,0.8387096774193549,0.12903267741935487,0.2258066774193549,0.82,True
